Topic_ID,Count,Top_Words
39,151,"bisca(0.103), love you(0.103), from(0.072), bro(0.055), barçaaa(0.045), me gusta(0.039), vamos barça(0.030), pedri is(0.021), you i(0.020), glory(0.019)"
40,150,"we lost(0.067), s our(0.039), loss(0.030), learn(0.025), view(0.024), a win(0.023), varcalona(0.023), wasn t(0.019), he will(0.019), today(0.019)"
41,148,"que no(0.046), no te(0.042), voy a(0.029), dices(0.029), quedar(0.024), hablar de(0.023), vini no(0.021), solo(0.017), save(0.015), don t(0.015)"
42,148,"cricfy(0.038), bro(0.037), varunpopat6652(0.036), 9 minutos(0.034), rebeca(0.034), 8 2(0.031), tf(0.031), shot(0.030), pues(0.029), instagram(0.024)"
43,142,"tamal(0.061), robar(0.055), segarro(0.049), ha hecho(0.047), dekhu(0.044), kha(0.042), no me(0.040), a 1(0.040), you are(0.038), pedri ko(0.037)"
44,140,"koundé(0.083), a la(0.048), viniiiiii(0.044), final(0.042), vestuario(0.041), captain(0.039), thoughts(0.035), del mundo(0.031), jong(0.029), vini is(0.029)"
45,137,"video(0.057), cricfy(0.043), share(0.042), always(0.025), make a(0.023), 400 00(0.019), highline(0.019), wtf is(0.018), corner(0.017), can you(0.016)"
46,137,"good(0.117), menos(0.045), me gusta(0.039), he is(0.028), going(0.027), yash(0.022), effect(0.021), decision(0.021), el empate(0.021), luck(0.020)"
47,135,"carrusel racistas(0.067), de carrusel(0.063), racistas los(0.063), racistas(0.063), los de(0.063), carrusel(0.061), los(0.044), de(0.020), (0.000), (0.000)"
48,133,"flaqui(0.030), que fue(0.023), papa(0.023), llorando(0.021), la calle(0.020), media(0.018), no tiene(0.017), de carvajal(0.017), años que(0.015), saco(0.015)"
49,130,"bellingham(0.356), 3rd(0.029), difference(0.029), months(0.027), so good(0.019), the best(0.018), ballon(0.018), best player(0.017), the world(0.016), he was(0.013)"
50,130,"1000 cámaras(0.055), no pueden(0.055), cámaras(0.055), 1000(0.054), real de(0.054), segundo gol(0.054), 24(0.052), de madrid(0.051), bhai aap(0.018), karta(0.018)"
51,125,"barca it(0.082), been 4(0.080), highline(0.055), could ve(0.054), 2 1(0.037), before the(0.030), leave(0.029), clear pen(0.027), zee bhai(0.022), position(0.019)"
52,125,"madrid win(0.040), gana el(0.019), madrid will(0.017), madrid is(0.015), will win(0.015), real madrid(0.013), need to(0.011), 1 madrid(0.009), deserved(0.009), real(0.009)"
53,124,"yamals(0.187), shot(0.157), this match(0.134), de juego(0.034), thoughts on(0.025), rashford ko(0.024), attacking(0.024), arsenal(0.021), defense(0.020), red(0.018)"
54,123,"jude(0.158), jajajajajaja(0.110), por eso(0.054), quieren(0.052), ha hecho(0.035), nadie(0.031), trampas(0.029), 20(0.027), cama(0.025), juego(0.022)"
55,123,"barça visca(0.091), visca el(0.075), visca barsa(0.035), visca catalunya(0.029), barca barca(0.018), love(0.017), barcaaaaa(0.014), que ha(0.014), ha pasado(0.014), gaya(0.011)"
56,123,"el final(0.110), winner(0.086), it s(0.036), vamos real(0.036), high(0.034), le réal(0.032), pressing(0.029), am(0.025), we are(0.017), se acabo(0.017)"
57,123,"the match(0.115), the man(0.077), won the(0.076), show(0.026), after the(0.015), rigged(0.013), match kaha(0.013), the game(0.012), bad(0.010), will(0.010)"
58,122,"barsa visca(0.036), always(0.030), bar(0.024), second half(0.024), better(0.021), be the(0.019), interview(0.019), barca fan(0.018), barca is(0.017), some(0.014)"
59,121,"nunca(0.042), fachajal(0.040), peno(0.039), est pas(0.036), se puede(0.024), pasa nada(0.024), nikal(0.023), no hay(0.022), touche pas(0.016), du(0.016)"
60,118,"00 from(0.090), jeetenge(0.040), 1 000(0.031), 20(0.021), night(0.014), 200 00(0.014), left(0.012), see(0.012), torres(0.012), end(0.011)"
61,117,"st(0.238), where is(0.036), working(0.036), hattrick(0.034), ferran is(0.033), we need(0.032), bring(0.024), is not(0.023), olmo(0.018), my man(0.013)"
62,114,"fútbol(0.077), futbol(0.062), football(0.037), teams(0.019), que no(0.017), un partido(0.016), periodistas(0.015), drama(0.015), es un(0.012), vergüenza(0.012)"
63,113,"a nada(0.034), possession(0.033), we had(0.026), half(0.020), second(0.020), match(0.016), the pitch(0.015), jugar(0.014), u think(0.014), happened(0.013)"
64,112,"笑(1.517), rey(0.104), everyone(0.091), here(0.072), de la(0.051), c est(0.047), lamine yamal(0.041), al(0.020), we(0.014), lamine(0.014)"
65,110,"35(0.139), meter(0.056), difference(0.028), foot(0.028), i would(0.026), peeche(0.025), offside(0.025), call(0.025), home(0.024), injured(0.023)"
66,110,"8 4(0.115), negreira boys(0.113), alguien que(0.066), liga corrupta(0.044), negreira negreira(0.033), mundial(0.026), debería(0.023), pagar(0.020), dijo(0.020), arriba(0.019)"
67,105,"pedri is(0.034), pitch(0.028), s why(0.021), looked(0.020), board(0.016), control(0.015), played(0.014), best(0.014), next match(0.013), shots(0.012)"
68,104,"stamp(0.198), time stamp(0.184), time(0.064), what happened(0.043), it was(0.022), clear(0.013), police(0.010), stp(0.009), came(0.009), what s(0.008)"
69,104,"bye(1.377), gn(0.122), no está(0.120), por eso(0.120), sir(0.103), guys(0.075), it s(0.021), bhai(0.012), la(0.010), over(0.007)"
70,104,"jugo(0.058), rodrygo(0.055), les duele(0.054), yamal todos(0.053), bocaza(0.053), a hablar(0.053), todos contra(0.053), vini jr(0.050), de yamal(0.048), mejor(0.035)"
71,104,"chavales(0.171), que pena(0.168), verguenza(0.161), grande(0.157), tienen(0.145), jajajaja(0.082), más(0.078), gana el(0.059), que hay(0.024), equipos(0.022)"
72,101,"100(0.279), fede(0.100), what is(0.097), je suis(0.088), cope(0.082), el barça(0.065), d(0.050), 1(0.045), why(0.037), for(0.018)"
73,98,"no pen(0.682), pen(0.352), hat(0.013), nikal(0.013), penn(0.012), it was(0.009), point(0.009), go(0.007), pls(0.006), offside(0.006)"
74,98,"became(0.393), of membership(0.118), months of(0.118), joan garcia(0.031), fit(0.028), brother(0.028), rapha(0.022), olmo(0.022), never(0.019), to improve(0.011)"
75,98,"spanish(0.174), captain(0.159), bhai lamine(0.111), carvajal(0.092), with(0.056), lamentable(0.047), zee bhai(0.043), zee(0.040), on est(0.016), won t(0.015)"
76,97,"10x(0.163), baila vini(0.096), pobre(0.027), a vinicius(0.020), no es(0.018), senabre(0.013), benched(0.013), count(0.013), giving(0.013), stp(0.012)"
77,97,"refresh(0.442), stream(0.216), wsh(0.026), why is(0.025), fair(0.025), hydrate(0.025), has been(0.025), but we(0.025), nuevo(0.024), rebeca(0.023)"
78,93,"come back(0.101), is going(0.070), to come(0.068), barca and(0.031), we will(0.028), game is(0.026), at our(0.024), nou(0.022), camp(0.022), jersey(0.020)"
79,92,"birthday(1.008), my(0.435), today(0.343), is(0.101), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
80,91,"valverde(0.158), injury(0.062), is on(0.046), expected(0.042), zyada(0.041), position(0.038), bhai barca(0.036), half(0.024), out(0.019), last season(0.014)"
81,89,"rashford(0.160), games(0.030), runs(0.028), missed(0.027), balde(0.024), should do(0.024), chances(0.023), score more(0.021), is bad(0.019), shot(0.015)"
82,88,"free(0.178), koi(0.152), super chat(0.079), bohot(0.072), site(0.060), live(0.051), batao(0.038), hai(0.024), log(0.021), bhai(0.020)"
83,87,"turqouise waving(0.245), person turqouise(0.245), waving person(0.242), vendas(0.039), lamine balón(0.039), person turquoise(0.019), jugo(0.015), habla de(0.006), corona(0.005), rome(0.005)"
84,87,"winter(0.124), survive(0.105), to sign(0.090), cb(0.078), we need(0.052), hacen(0.041), no saben(0.041), en champions(0.040), perder(0.037), los clásicos(0.034)"
85,87,"over text(0.085), green game(0.083), text green(0.083), game over(0.083), waving person(0.004), pitch(0.003), elbowcough(0.003), minutes(0.003), khatam(0.001), balón de(0.000)"
86,86,"de hablar(0.084), down(0.071), stop(0.043), calma calma(0.041), qu il(0.038), casa(0.036), up(0.028), enjoy(0.020), de la(0.020), assist(0.019)"
87,85,"eres(0.058), 7 1(0.046), qu il(0.041), have been(0.040), hors jeu(0.039), city(0.037), no me(0.037), should have(0.032), sa(0.031), going(0.030)"
88,85,"discord gg(0.255), https discord(0.255), join(0.249), je suis(0.007), sign(0.006), how(0.003), if(0.003), should(0.002), real(0.001), we(0.001)"
89,84,"diddy(0.227), ponky(0.224), football(0.050), ban(0.048), kick(0.047), still(0.042), stream(0.038), watching(0.035), come to(0.026), a little(0.025)"
90,83,"sybau(0.127), w mbappe(0.091), gaydrid gaydrid(0.062), negreira negreira(0.056), jersey change(0.054), beta(0.049), bhai jersey(0.042), cry more(0.037), jeet(0.035), fan bhai(0.034)"
91,82,"wtf is(0.173), bc(0.085), bench(0.049), ponkyy(0.046), line(0.045), robbed(0.044), ref(0.035), will be(0.031), up(0.025), bro(0.014)"
92,82,"sports(0.248), stats(0.071), la prensa(0.053), players(0.048), son unos(0.033), still(0.026), del partido(0.023), asco de(0.022), can we(0.021), teams(0.021)"
93,82,"cooking(0.125), yamal got(0.041), mins(0.036), valverde(0.035), gonna(0.032), lamine is(0.029), we are(0.028), still(0.024), and carreras(0.019), bro(0.019)"
94,81,"madriddd(0.127), madri(0.073), varcalona(0.044), halal(0.042), barca hala(0.042), lamine lamine(0.041), call(0.039), bench(0.038), pedri ko(0.032), rapha(0.030)"
95,81,"la calle(0.089), balls(0.086), went(0.085), park the(0.085), all the(0.080), have been(0.076), bus(0.075), 2nd half(0.071), if(0.032), time(0.027)"
96,79,"white horns(0.195), goat turquoise(0.195), turquoise white(0.195), speaking(0.034), bye(0.030), person blue(0.028), fish(0.027), foot(0.025), hair(0.008), ferran torres(0.008)"
97,78,"d or(0.044), ballon(0.034), mbappe mbappe(0.026), should have(0.026), arajuo(0.018), looking(0.018), you think(0.017), 100(0.016), hattrick(0.016), believe(0.014)"
98,77,"raha hai(0.077), hoy en(0.067), pagar(0.066), dia(0.058), tenéis(0.022), high(0.022), chal(0.017), más(0.015), peno(0.015), arda(0.014)"
99,76,"let(0.075), go(0.073), we should(0.059), vamos barça(0.042), cope(0.026), chicos(0.022), barza(0.020), us(0.016), por el(0.015), again(0.014)"
100,76,"waving(0.255), blue(0.114), bellingham(0.103), octopus(0.092), red waving(0.092), octopus red(0.092), lamine no(0.042), años(0.023), barcelone(0.018), red(0.011)"
101,76,"los dos(0.240), el balón(0.089), son(0.088), normal(0.085), arbitre(0.080), est pas(0.079), can t(0.055), should be(0.049), be(0.022), it(0.021)"
102,76,"dormir(0.393), lamin(0.063), yamal lamine(0.049), unc(0.048), everyone(0.042), around(0.041), a favor(0.039), go(0.026), do you(0.022), pero(0.020)"
103,76,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
104,76,"stay humble(0.168), yamal got(0.056), wait(0.043), guys(0.028), refree(0.019), needed to(0.017), half(0.017), months(0.017), life(0.016), you are(0.014)"
105,75,"madrid fan(0.038), fan(0.031), support(0.029), bhai madrid(0.023), bhi nhi(0.019), team(0.016), ka kya(0.015), madrid ko(0.015), and barca(0.014), the same(0.014)"
106,75,"gayi(0.147), wtf is(0.023), nikal(0.022), diddy(0.021), defend(0.020), baar(0.019), gaydrid gaydrid(0.019), if u(0.018), corner(0.018), chance(0.017)"
107,75,"fans(0.079), barca fans(0.051), barca(0.031), the only(0.025), defeat(0.025), i have(0.024), cry more(0.022), some(0.019), this season(0.018), playing(0.017)"
108,75,"elbowcough elbowcough(0.414), stayhome(0.154), yougotthis yougotthis(0.150), hydrate(0.076), red penalty(0.011), card(0.010), buffering(0.004), medal yellow(0.004), first red(0.004), green(0.003)"
109,74,"viva españa(0.037), madrid no(0.023), juega a(0.020), no ha(0.020), lamine no(0.019), español(0.018), un equipo(0.015), madrid que(0.015), comentaristas(0.014), de jong(0.014)"
110,74,"a striker(0.059), as a(0.047), arajuo(0.044), bring(0.040), to play(0.034), wrong(0.031), we need(0.028), 2 a(0.017), corner(0.015), single(0.013)"
111,74,"a ganado(0.053), los dos(0.049), pasado(0.042), con el(0.037), todo(0.032), mejor(0.027), partidos(0.024), vini no(0.023), ojalá(0.022), el mejor(0.021)"
112,74,"笑(0.616), youtube(0.248), making(0.077), going to(0.072), you are(0.069), didn t(0.066), yash(0.050), 100(0.040), why(0.032), on(0.018)"
113,72,"rapha(0.047), vini and(0.037), another(0.026), subbed(0.025), level(0.025), is on(0.024), was not(0.024), bench(0.023), out(0.021), today(0.014)"
114,72,"save(0.417), saved us(0.173), humiliation(0.128), from(0.046), your(0.040), bro(0.032), confidence(0.018), farsa(0.017), now(0.017), our defence(0.016)"
115,71,"valores(0.275), niño(0.212), tamal(0.139), donde esta(0.135), son los(0.133), rey(0.090), real madrid(0.076), esta(0.068), khela(0.044), madrid(0.014)"
116,70,"año pasado(0.087), pasado(0.076), farsa(0.051), last(0.035), se borró(0.035), last season(0.029), meme(0.021), remember(0.018), season(0.018), 4 el(0.017)"
117,70,"nn(0.902), penn(0.228), kick(0.072), vamosss(0.068), not a(0.065), should have(0.058), team(0.033), 3 1(0.030), out(0.026), real(0.011)"
118,70,"buffering(0.422), vini post(0.184), performance(0.071), check(0.030), orange frowning(0.029), are you(0.008), bhai what(0.008), comeback(0.006), yellow goal(0.002), text yellow(0.002)"
119,70,"vamos real(0.063), le real(0.054), mandriles(0.030), king(0.026), trampas(0.024), el classico(0.021), vous(0.021), show(0.020), fake(0.019), this(0.018)"
120,70,"fake(0.238), spam(0.177), why are(0.029), guys(0.023), goal walo(0.023), ki mkc(0.022), chat(0.020), ban(0.020), don t(0.014), people(0.011)"
121,69,"problem(0.070), and mbappe(0.070), together(0.068), will score(0.064), hope(0.058), vini and(0.042), half(0.035), up(0.033), last(0.031), first(0.027)"
122,69,"hand(0.452), clear(0.071), dekho(0.043), box(0.035), mkc(0.034), bro(0.029), bad(0.027), in the(0.025), ha(0.021), for(0.010)"
123,69,"pedro(0.072), jugando(0.038), siempre(0.025), ceballos(0.025), florentino(0.024), cambio(0.023), gol de(0.022), cruz(0.021), estaba(0.021), papa(0.020)"
124,69,"ya lo(0.087), meter(0.086), gagne(0.083), que lo(0.078), qu il(0.077), tiene que(0.067), dijo(0.063), le barça(0.062), con el(0.060), hay que(0.053)"
125,69,"la primera(0.085), ha hecho(0.082), pero(0.071), what happened(0.045), cause(0.043), eso(0.043), pense(0.041), qu il(0.039), sort(0.038), happened(0.034)"
126,68,"missed(0.145), and lewa(0.081), we should(0.065), barca is(0.044), should not(0.033), him(0.023), a lot(0.021), raphinia(0.021), lewandowski(0.020), zee bhai(0.016)"
127,68,"disgrace(0.246), el empate(0.051), drama(0.051), the most(0.025), class(0.024), manolo(0.024), comparing(0.023), arbitro(0.023), bellingham(0.022), llorando(0.021)"
128,68,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
129,68,"carreras and(0.057), belligoal(0.055), rivalry(0.052), nobody(0.051), was top(0.051), today he(0.050), table time(0.050), kounde and(0.050), side(0.044), too much(0.040)"
130,68,"pidiendo la(0.117), penal(0.074), robando(0.070), jajajajajaja(0.065), 2 1(0.051), los 3(0.022), park the(0.021), nota(0.021), rebeca(0.019), no tiene(0.018)"
131,68,"madri(0.116), qui a(0.087), hag(0.080), golazo(0.070), señor(0.033), vini ko(0.032), ke(0.027), sub(0.022), y no(0.016), mappe(0.016)"
132,67,"again(0.108), that was(0.041), it is(0.039), 50(0.038), offside(0.019), h(0.017), why(0.015), will(0.011), be(0.011), no(0.004)"
133,66,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
134,65,"winter(0.021), defensive(0.021), window(0.018), bring(0.016), we need(0.015), bro(0.014), our defence(0.013), to improve(0.013), from barca(0.012), zee bhai(0.012)"
135,65,"que es(0.159), es el(0.155), todos(0.078), unc(0.070), el barça(0.043), shit(0.039), lo que(0.037), flick(0.032), this(0.014), was(0.013)"
136,64,"peor(0.097), is so(0.086), il a(0.053), that s(0.051), attitude(0.041), is bad(0.034), estás(0.034), luck(0.033), wrong(0.024), is not(0.020)"
137,64,"pk(3.427), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
138,64,"bc(0.453), rma(0.089), off(0.065), gye(0.054), xd(0.029), open(0.029), refresh(0.027), new(0.024), rocket(0.022), show(0.022)"
139,64,"dive(0.489), yellow(0.070), every(0.032), class(0.024), playing(0.024), what if(0.023), level(0.023), xd(0.022), card(0.020), not a(0.020)"
140,63,"he could(0.202), his hand(0.202), that was(0.195), extra(0.187), could have(0.121), had(0.115), back(0.076), hand(0.062), but(0.047), he(0.036)"
141,62,"of(0.284), es muy(0.154), parece(0.147), sus(0.134), le barça(0.116), grande(0.111), iturralde(0.090), muy(0.074), siempre(0.064), son(0.054)"
142,61,"rodrygo(0.193), faire jouer(0.171), rw(0.030), you re(0.028), bhai let(0.028), incoming(0.028), happy(0.018), decision(0.015), cook(0.014), come(0.014)"
143,61,"jaye(0.793), ga(0.727), var(0.402), ho(0.264), to(0.082), (0.000), (0.000), (0.000), (0.000), (0.000)"
144,61,"jersey change(0.414), change(0.339), bhai jersey(0.033), no 10(0.026), should be(0.019), kya(0.018), lucky(0.016), madrid ki(0.016), doesnt(0.016), want(0.011)"
145,61,"justified(0.049), i don(0.046), the players(0.041), hansi(0.039), confidence(0.037), play a(0.037), tactics(0.030), 90(0.028), will change(0.022), u think(0.020)"
146,60,"will score(0.186), performance(0.041), prediction(0.038), 90(0.037), we will(0.033), kya(0.025), scores(0.014), 8(0.014), tonight(0.014), we don(0.014)"
147,60,"si es(0.403), roncero(0.273), es un(0.256), este(0.172), si(0.117), es(0.089), un(0.088), del(0.060), no(0.035), (0.000)"
148,60,"start(0.342), what if(0.101), already(0.049), kick(0.047), ho gya(0.046), it was(0.039), el classico(0.039), y no(0.025), off(0.021), who(0.020)"
149,60,"smokey(0.399), lamine a(0.068), jugado(0.062), saved us(0.045), on fire(0.045), cook(0.022), it could(0.022), tonight(0.022), boy(0.021), giving(0.021)"
150,59,"instead of(0.513), instead(0.504), sólo(0.454), rashy(0.424), roony(0.358), ferran(0.177), es(0.111), of(0.089), (0.000), (0.000)"
151,59,"lord(0.149), pray(0.086), fede(0.048), believe in(0.046), on the(0.043), day(0.031), araujo(0.023), again(0.022), us(0.016), hell(0.016)"
152,59,"balón(0.185), balón de(0.177), de playa(0.177), balon de(0.050), el balón(0.041), lamine balón(0.040), nuevo(0.038), tamal(0.034), todo el(0.030), messi(0.018)"
153,59,"i would(0.549), draw(0.400), would(0.312), take(0.299), me(0.107), i(0.085), a(0.030), (0.000), (0.000), (0.000)"
154,59,"site(0.064), free(0.061), these(0.050), only(0.029), can(0.019), bro(0.016), on(0.013), me(0.012), la(0.008), no(0.006)"
155,58,"stop(0.109), ponkyy(0.053), lost(0.042), hard(0.037), leave(0.029), and cry(0.026), much more(0.024), always(0.019), difference(0.016), a foul(0.016)"
156,58,"barsa vamos(0.636), vamos barsa(0.609), barsa(0.350), vamos(0.180), on a(0.017), vamos vamos(0.012), on(0.004), a(0.001), (0.000), (0.000)"
157,58,"it is(0.050), es la(0.049), is that(0.046), tiene que(0.042), that s(0.040), yes(0.036), save(0.034), it(0.026), this is(0.026), il(0.018)"
158,58,"score(0.056), i think(0.039), madrid 4(0.034), madrid 2(0.028), the last(0.027), have to(0.025), in january(0.025), at the(0.025), 5 2(0.022), minutes(0.022)"
159,58,"ve been(0.046), easily(0.041), or 5(0.041), could ve(0.038), should have(0.037), up the(0.030), 3 points(0.029), have been(0.026), 0(0.024), 1 0(0.021)"
160,58,"imagen(0.085), people(0.060), clean(0.051), check(0.036), vergüenza(0.036), respect(0.036), why(0.029), est nul(0.028), nous(0.028), c(0.027)"
161,58,"penaltis(0.035), runs(0.035), the box(0.035), de mbappe(0.034), 9 minutos(0.033), close(0.032), bench(0.032), the only(0.031), play a(0.031), selección(0.030)"
162,58,"w w(0.567), wsh(0.387), h(0.153), main(0.069), comment(0.053), balde(0.047), y a(0.043), striker(0.037), raha(0.033), 9(0.027)"
163,58,"effect(0.145), today s(0.136), u think(0.112), would have(0.105), fight(0.085), vini and(0.080), bhai do(0.061), bhaiya(0.033), we don(0.017), respect for(0.017)"
164,57,"w w(1.240), w(0.673), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
165,57,"j ai(0.640), mon(0.606), ai(0.606), j(0.447), pour(0.324), barça(0.164), (0.000), (0.000), (0.000), (0.000)"
166,57,"todos los(0.131), hay que(0.093), arbitre(0.069), the only(0.065), pourquoi(0.061), hope(0.059), is the(0.044), carreras(0.027), no(0.013), de(0.009)"
167,57,"scared(0.440), j ai(0.213), to take(0.076), lmao(0.066), life(0.065), lamine is(0.058), getting(0.047), bro(0.037), yamal is(0.035), today(0.025)"
168,57,"dos tres(0.088), madrid uno(0.085), uno(0.078), madridhala(0.055), hala(0.046), bobby(0.017), mastantuono(0.014), endrick(0.013), baar(0.011), hala madridd(0.002)"
